,DLSm01,DLSm02,DLSm03,DLSt01,DLSt02,DLSt03,DPSm01,DPSm02,DPSm03,DPSt01,DPSt02,DPSt03,HLm01,HLm02,HLm03,HLt01,HLt02,HLt03,SLTm01,SLTm02,SLTm03,SLTt01,SLTt02,SLTt03,SLm01,SLm02,SLm03,SLt01,SLt02,SLt03,XSm01,XSm02,XSm03,XSt01,XSt02,XSt03
Zotu10016,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
Zotu10017,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1002,40,1,0,2,2,0,3,37,4,12,156,26,2,3,1,1,1,0,12,32,1,25,23,18,1,1,2,1,6,0,3,0,4,0,77,3
Zotu10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Zotu1003,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Zotu10030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10031,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,1,0,5,1,1,1,4,2,0
Zotu10032,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Zotu10033,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11,2,0,0,0,0,1,0,0,0,0,0
Zotu10034,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
Zotu10035,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,26,0,1,0,0,0,0,0,0,0,0,0,0,0
