,DLSs01,DLSs02,DLSs03,DLSt01,DLSt02,DLSt03,DPSs01,DPSs02,DPSs03,DPSt01,DPSt02,DPSt03,HLs01,HLs02,HLs03,HLt01,HLt02,HLt03,SLTs01,SLTs02,SLTs03,SLTt01,SLTt02,SLTt03,SLs01,SLs02,SLs03,SLt01,SLt02,SLt03,XSs01,XSs02,XSs03,XSt01,XSt02,XSt03
Zotu10065,13,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Zotu10066,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0
Zotu10067,1,11,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10068,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,8,0,0,0,0,0,0,0,0,0
Zotu10069,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0
Zotu1007,0,1,0,2,1,7,0,4,0,13,1,32,0,0,0,21,0,27,0,1,0,4,4,13,18,0,0,4,0,44,0,2,0,35,41,0
Zotu10070,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Zotu10071,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10072,0,5,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,9,2,0,1,0,1
Zotu10073,0,0,1,0,0,0,0,0,0,0,0,0,2,13,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Zotu10074,0,0,2,0,0,0,0,0,0,0,0,0,1,2,9,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0
Zotu10075,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,1,0,0,0,0,0,0,0,0,0
Zotu10077,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10078,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Zotu10079,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Zotu1008,0,0,0,0,0,0,0,0,0,0,0,0,482,55,83,0,0,0,44,0,7,0,0,0,0,0,0,0,0,0,90,100,80,0,0,0
Zotu10080,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zotu10081,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Zotu10082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0
Zotu10083,0,0,0,0,0,0,0,0,0,0,0,0,10,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Zotu10084,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
Zotu10085,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Zotu10086,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
