,DLSm01,DLSm02,DLSm03,DLSse01,DLSse02,DLSse03,DPSm01,DPSm02,DPSm03,DPSse01,DPSse02,DPSse03,HLm01,HLm02,HLm03,HLse01,HLse02,HLse03,SLTm01,SLTm02,SLTm03,SLTse01,SLTse02,SLTse03,SLm01,SLm02,SLm03,SLse01,SLse02,SLse03,XSm01,XSm02,XSm03,XSse01,XSse02,XSse03
Zotu10159,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0
Zotu1016,0,0,0,0,0,0,7,5,0,0,0,0,1,0,0,0,0,0,3,0,6,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0
Zotu10160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10161,0,1,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,6,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Zotu10162,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,1,0,0,0,56,3,1,0,0,0,0,0,0,0,0,0,0,0,0
Zotu10163,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0
Zotu10165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,0
Zotu10166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Zotu10167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
Zotu10168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
Zotu10169,7,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
Zotu1017,4,2,5,0,0,0,1,3,0,35,0,0,4,2,2,0,0,0,1,69,1,0,0,1,2,1,4,80,4,4,10,4,2,34,0,0
Zotu10170,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0
